news_id,published_at,ticker,headline,body,source,url
N001,2026-01-08,NVDA,NVIDIA が CES で次世代 Rubin アーキテクチャの詳細を公開,"NVIDIA unveiled additional details of its Vera Rubin platform at CES, claiming up to 35x higher inference throughput compared with the current Blackwell generation. Analysts described the roadmap cadence as difficult for competitors to match. The company reiterated that production shipments remain on track for the second half of the fiscal year.",Market Wire,https://example.com/news/N001
N002,2026-01-15,MSFT,Microsoft の Fairwater データセンターが予定より前倒しで稼働開始,"Microsoft announced that Fairwater, described as the world's most powerful AI data center, has gone live ahead of schedule. The facility is powered by hundreds of thousands of Blackwell GPUs. The company said the capacity will be allocated primarily to frontier model training workloads for enterprise customers.",Market Wire,https://example.com/news/N002
N003,2026-01-20,AAPL,アップルのサービス部門売上が過去最高を更新,"Apple reported that its services segment reached a new quarterly record, driven by App Store and subscription growth. Hardware revenue was broadly in line with expectations despite softer demand in China. Management struck a cautious tone on near-term device replacement cycles.",Global Finance Daily,https://example.com/news/N003
N004,2026-01-22,TSLA,テスラ、EV 需要減速を受け主要市場で値下げを実施,"Tesla cut prices across several major markets in response to slowing electric vehicle demand. The move is expected to pressure automotive gross margins in the coming quarters. Some analysts downgraded their near-term margin assumptions following the announcement.",Global Finance Daily,https://example.com/news/N004
N005,2026-01-27,GOOGL,アルファベット、クラウド事業の営業利益率が改善,"Alphabet reported improving operating margins in its cloud segment as AI infrastructure utilization increased. The company said Blackwell-based instances with confidential computing will be offered to customers this year. Capital expenditure guidance was raised, which drew mixed reactions from investors.",Market Wire,https://example.com/news/N005
N006,2026-01-29,META,メタ、AI インフラ投資の拡大で設備投資計画を上方修正,"Meta Platforms raised its full-year capital expenditure plan, citing accelerating investment in AI infrastructure. The company said the spending is necessary to support its frontier model roadmap. Investors questioned the timeline for monetization of these investments.",Investor Times,https://example.com/news/N006
N007,2026-02-03,AMZN,AWS、Blackwell と Rubin GPU の大規模導入を発表,"Amazon Web Services said it will add more than one million Blackwell and Rubin GPUs starting this year, and is collaborating with NVIDIA on Spectrum networking. The announcement was seen as a strong endorsement of NVIDIA's networking stack. AWS also highlighted growth in its AI cloud revenue.",Market Wire,https://example.com/news/N007
N008,2026-02-05,AVGO,ブロードコム、カスタム AI アクセラレータの受注が急増,"Broadcom reported a sharp increase in orders for custom AI accelerators from hyperscale customers. The company said its networking silicon business also benefited from AI data center build-outs. Management guided to continued strength through the remainder of the fiscal year.",Investor Times,https://example.com/news/N008
N009,2026-02-10,XOM,エクソンモービル、原油価格の下落で四半期利益が減少,"Exxon Mobil posted a decline in quarterly earnings as crude oil prices fell from the prior year period. Refining margins also compressed. The company maintained its shareholder return program and said it would prioritize capital discipline.",Global Finance Daily,https://example.com/news/N009
N010,2026-02-12,JPM,JPモルガン、投資銀行部門の手数料収入が回復,"JPMorgan Chase reported a recovery in investment banking fees driven by a rebound in merger and acquisition activity. Net interest income guidance was left unchanged. Management flagged continued uncertainty around the path of policy rates.",Investor Times,https://example.com/news/N010
N011,2026-02-17,NVDA,米政府が H200 の中国向け輸出ライセンスを承認,"The US government approved licenses for NVIDIA's H200 accelerators to be shipped to China-based customers. However, it remains unclear whether imports will actually be permitted into the country. NVIDIA has not included any China data center compute revenue in its outlook.",Market Wire,https://example.com/news/N011
N012,2026-02-19,MSFT,マイクロソフト、AI 関連の営業費用増加が利益率を圧迫,"Microsoft said higher compute and infrastructure costs tied to AI workloads weighed on operating margins during the quarter. Azure growth remained robust but decelerated modestly from the prior quarter. The company reiterated its long-term margin expansion target.",Global Finance Daily,https://example.com/news/N012
N013,2026-02-24,AAPL,アップル、欧州の規制対応でアプリストア手数料体系を変更,"Apple announced changes to its App Store commission structure in response to European regulatory requirements. Analysts estimate a modest headwind to services revenue. The company said it would continue to engage with regulators across other jurisdictions.",Regulatory Brief,https://example.com/news/N013
N014,2026-02-26,TSLA,テスラ、ロボタクシー事業で NVIDIA との協業を拡大,"Tesla expanded its collaboration on autonomous driving compute, and separately NVIDIA said its Uber partnership will power a robotaxi fleet across nearly 30 cities by 2028. Investors viewed the announcements as validation of the physical AI thesis. Near-term revenue contribution is expected to be limited.",Market Wire,https://example.com/news/N014
N015,2026-03-03,GOOGL,アルファベット、独占禁止法訴訟で不利な判断を受ける,"Alphabet received an unfavorable ruling in an antitrust case related to its search distribution agreements. The company said it plans to appeal. Analysts noted the potential for structural remedies remains a longer-term overhang on the shares.",Regulatory Brief,https://example.com/news/N015
N016,2026-03-05,AVGO,ブロードコム、ソフトウェア事業の統合が計画より前倒しで進行,"Broadcom said the integration of its infrastructure software business is progressing ahead of plan, supporting margin expansion. Free cash flow conversion improved year over year. The company raised its dividend for the fifth consecutive year.",Investor Times,https://example.com/news/N016
N017,2026-03-10,NVDA,GTC で Vera CPU を発表、2000億ドルの新規 TAM に参入,"At GTC, NVIDIA introduced its Vera CPU built on custom Arm cores and co-designed with Rubin GPUs. Management said Vera opens a new 200 billion dollar total addressable market that the company has never addressed before. NVIDIA cited visibility to nearly 20 billion dollars in total CPU revenue this year.",Market Wire,https://example.com/news/N017
N018,2026-03-12,AMZN,アマゾン、小売部門の営業利益率が市場予想を上回る,"Amazon reported retail operating margins above consensus expectations, helped by fulfillment network efficiency gains. Advertising revenue growth remained in the high teens. The company guided to continued investment in AI infrastructure.",Investor Times,https://example.com/news/N018
N019,2026-03-17,META,メタ、広告単価の上昇で売上成長が加速,"Meta Platforms said average ad prices rose during the quarter, accelerating revenue growth. The company attributed the improvement to AI-driven ranking and recommendation systems. Reality Labs losses remained substantial.",Market Wire,https://example.com/news/N019
N020,2026-03-19,XOM,エクソンモービル、上流部門の生産量が計画を上回る,"Exxon Mobil reported upstream production volumes above its own plan, driven by Guyana and Permian assets. Management said unit costs continued to decline. The company reaffirmed its multi-year capital spending framework.",Global Finance Daily,https://example.com/news/N020
N021,2026-03-24,MSFT,マイクロソフト、エンタープライズ向け AI エージェント製品を正式提供開始,"Microsoft made its enterprise AI agent offering generally available, with early adopters reporting productivity gains. The company said seat-based pricing will be complemented by consumption-based options. Analysts see the launch as a key monetization milestone.",Market Wire,https://example.com/news/N021
N022,2026-03-26,JPM,JPモルガン、信用コストの増加を見込み貸倒引当金を積み増し,"JPMorgan Chase increased loan loss provisions in anticipation of rising credit costs in its consumer portfolio. Management described the build as prudent rather than a reflection of observed deterioration. Capital ratios remained well above regulatory minimums.",Global Finance Daily,https://example.com/news/N022
N023,2026-03-31,AAPL,アップル、AI 機能を搭載した新型デバイスの投入時期が後ろ倒し,"Apple pushed back the launch timing of new devices featuring expanded on-device AI capabilities. Supply chain sources cited component availability as a factor. Analysts trimmed near-term unit shipment estimates.",Supply Chain Monitor,https://example.com/news/N023
N024,2026-04-02,TSLA,テスラ、バッテリー原材料の調達コストが上昇,"Tesla flagged rising battery raw material procurement costs, which are expected to weigh on gross margins. The company said it is renegotiating long-term supply agreements. Production volumes were unchanged from prior guidance.",Supply Chain Monitor,https://example.com/news/N024
N025,2026-04-07,NVDA,MLPerf 推論ベンチマークで Blackwell Ultra が全項目首位,"NVIDIA said Blackwell Ultra swept every category in the latest MLPerf inference benchmarks. Full stack innovations drove a 2.7x increase in throughput and a 60 percent reduction in cost per token on GB300 compared with six months ago. Competitors did not submit comparable results in several categories.",Market Wire,https://example.com/news/N025
N026,2026-04-09,GOOGL,アルファベット、Rubin GPU 対応のベアメタルインスタンスを先行提供,"Alphabet said its A5X bare-metal instances, which can support up to 960,000 Rubin GPUs across multiple sites, will be offered to customers as an early adopter program. The company positioned the offering for the largest AI training workloads. Pricing details were not disclosed.",Market Wire,https://example.com/news/N026
N027,2026-04-14,AMZN,アマゾン、Anthropic の計算基盤拡張を支援,"Amazon said it will support Anthropic's compute capacity expansion through AWS, alongside other cloud providers. The arrangement deepens the relationship between the two companies. Analysts see model-layer growth as a leading indicator for AI infrastructure demand.",Investor Times,https://example.com/news/N027
N028,2026-04-16,AVGO,ブロードコム、主要顧客の設計変更で一部製品の出荷が遅延,"Broadcom disclosed that a design change at a major customer will delay shipments of certain products by one quarter. The company said full-year guidance remains unchanged. Investors reacted negatively to the near-term revenue timing shift.",Supply Chain Monitor,https://example.com/news/N028
N029,2026-04-21,META,メタ、データセンター向け電力調達で長期契約を締結,"Meta Platforms signed long-term power purchase agreements to secure electricity for its expanding data center footprint. Power availability has emerged as a binding constraint on AI capacity growth. The company said the contracts also support its clean energy commitments.",Market Wire,https://example.com/news/N029
N030,2026-04-23,MSFT,マイクロソフト、Azure の AI サービス売上が前年同期比で倍増,"Microsoft reported that AI services revenue within Azure roughly doubled year over year. Capacity constraints remain a limiting factor on growth. The company said additional data center capacity will come online through the second half of the year.",Investor Times,https://example.com/news/N030
N031,2026-04-28,XOM,エクソンモービル、炭素回収事業で新規の商業契約を獲得,"Exxon Mobil secured new commercial agreements for its carbon capture and storage business. Management described the segment as an area of long-term optionality rather than near-term earnings. Analysts noted the returns profile remains unproven.",Global Finance Daily,https://example.com/news/N031
N032,2026-04-30,AAPL,アップル、自社株買い枠を拡大し配当を増額,"Apple expanded its share repurchase authorization and raised its quarterly dividend. The announcement was accompanied by in-line quarterly results. Management reiterated its commitment to returning substantially all free cash flow to shareholders over time.",Investor Times,https://example.com/news/N032
N033,2026-05-05,NVDA,決算発表を前にアナリストが NVIDIA の目標株価を相次いで引き上げ,"Several analysts raised their price targets on NVIDIA ahead of its first quarter fiscal 2027 results. The upgrades cited accelerating inference demand and the ramp of GB300 NVL72 systems. Consensus revenue expectations moved higher into the print.",Investor Times,https://example.com/news/N033
N034,2026-05-07,TSLA,テスラ、主要市場での納車台数が市場予想を下回る,"Tesla reported vehicle deliveries below consensus expectations in its major markets. The company attributed the shortfall to logistics timing and a model changeover. Management maintained its full-year delivery target.",Global Finance Daily,https://example.com/news/N034
N035,2026-05-12,GOOGL,アルファベット、AI 検索機能の広告収益化が想定を上回るペース,"Alphabet said monetization of its AI-powered search experience is running ahead of internal expectations. Query volumes in AI-assisted formats grew sequentially. The company cautioned that mix shifts could affect margins.",Market Wire,https://example.com/news/N035
N036,2026-05-14,JPM,JPモルガン、AI 活用による業務効率化で経費率が改善,"JPMorgan Chase reported an improved efficiency ratio, which management partly attributed to AI-driven automation in operations and client servicing. Technology spending continued to rise in absolute terms. The bank raised its full-year expense guidance modestly.",Investor Times,https://example.com/news/N036
N037,2026-05-19,NVDA,NVIDIA 決算発表を翌日に控え、市場はデータセンター需要の持続性に注目,"Investors positioned ahead of NVIDIA's quarterly report, with attention focused on the sustainability of data center demand and the pace of the Blackwell ramp. Options markets implied an unusually large post-earnings move. Supply chain checks suggested continued tightness in advanced packaging capacity.",Market Wire,https://example.com/news/N037
N038,2026-05-20,NVDA,NVIDIA、四半期売上820億ドルで前年同期比85%増の過去最高を記録,"NVIDIA reported total revenue of 82 billion dollars, up 85 percent year over year and 20 percent sequentially, marking a record quarter. Data Center revenue of 75 billion dollars rose 92 percent year over year, driven by sustained strength in the Blackwell architecture. Free cash flow reached a record 49 billion dollars.",Market Wire,https://example.com/news/N038
N039,2026-05-20,NVDA,NVIDIA、次四半期の売上見通しを910億ドルに設定,"NVIDIA guided second quarter revenue to 91 billion dollars plus or minus 2 percent, with sequential growth expected to be driven primarily by Data Center. GAAP and non-GAAP gross margins are expected to be 74.9 percent and 75 percent respectively. The outlook excludes any China data center compute revenue.",Market Wire,https://example.com/news/N039
N040,2026-05-21,NVDA,NVIDIA、四半期配当を0.25ドルに大幅増額し800億ドルの自社株買いを発表,"NVIDIA raised its quarterly dividend from 0.01 dollars to 0.25 dollars per share and announced an 80 billion dollar share repurchase authorization, in addition to 39 billion dollars remaining on its current plan. Management said it plans to return roughly 50 percent of free cash flow to shareholders this year. The capital return plan was larger than most analysts had modeled.",Investor Times,https://example.com/news/N040
N041,2026-05-22,NVDA,NVIDIA の供給制約に対する市場の懸念は残る,"Despite record results, some investors remain focused on NVIDIA's supply constraints. The company said total supply including inventory, purchase commitments and prepaids increased to 145 billion dollars. Management acknowledged it is not immune to supply challenges but expressed confidence in supporting demand.",Supply Chain Monitor,https://example.com/news/N041
N042,2026-05-26,AVGO,ブロードコム、AI 向け売上比率が全社の過半に到達,"Broadcom said AI-related revenue now accounts for more than half of its semiconductor sales. The company raised its full-year AI revenue outlook. Management cautioned that customer concentration remains high.",Investor Times,https://example.com/news/N042
N043,2026-05-28,AMZN,アマゾン、AI クラウド売上が前年同期比で3倍以上に成長,"Amazon reported that AI cloud revenue more than tripled year over year. The company said the number of large-scale AI training customers continued to expand. Capacity additions remain the primary gating factor on growth.",Market Wire,https://example.com/news/N043
N044,2026-06-02,META,メタ、生成 AI 関連の規制対応コストが増加,"Meta Platforms disclosed rising compliance costs associated with generative AI regulation across multiple jurisdictions. The company said it does not expect a material impact on near-term profitability. Legal and policy headcount is being expanded.",Regulatory Brief,https://example.com/news/N044
N045,2026-06-04,MSFT,マイクロソフト、AI 半導体の内製化計画を加速,"Microsoft said it is accelerating development of its in-house AI silicon while continuing to expand its NVIDIA-based fleet. Management framed the strategy as complementary rather than substitutionary. Analysts debated the long-term implications for merchant silicon suppliers.",Market Wire,https://example.com/news/N045
N046,2026-06-09,AAPL,アップル、サプライヤー多様化で中国依存度を低下,"Apple said it has further diversified its supplier base, reducing manufacturing concentration in China. The transition has increased near-term costs. Management expects unit economics to normalize over the next several quarters.",Supply Chain Monitor,https://example.com/news/N046
N047,2026-06-11,TSLA,テスラ、エネルギー貯蔵事業が最高益に貢献,"Tesla reported record profitability in its energy storage business, partially offsetting pressure in automotive. Deployment volumes reached an all-time high. Management said the segment will receive additional capital allocation.",Investor Times,https://example.com/news/N047
N048,2026-06-16,XOM,エクソンモービル、精製マージンの縮小で通期見通しを慎重化,"Exxon Mobil struck a more cautious tone on its full-year outlook, citing compressed refining margins. The company said it will defer certain discretionary spending. Shareholder distributions were left unchanged.",Global Finance Daily,https://example.com/news/N048
N049,2026-06-18,GOOGL,アルファベット、AI インフラ投資で減価償却費が増加,"Alphabet said depreciation expense is rising as AI infrastructure investments come online. The company reiterated that the useful life assumptions for its accelerator fleet remain unchanged. Some analysts questioned whether asset lives are appropriately conservative.",Global Finance Daily,https://example.com/news/N049
N050,2026-06-23,JPM,JPモルガン、資産運用部門の運用資産残高が過去最高を更新,"JPMorgan Chase reported record assets under management in its asset and wealth management division. Net inflows were positive across both institutional and retail channels. Management highlighted demand for AI-driven portfolio analytics from institutional clients.",Investor Times,https://example.com/news/N050
